,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,cluster
1560,Maps,V,Maroon 5,2014-09-02,3.1660000000000004,84,0.742,0.0205,0.713,0.0,0.059000000000000004,-5.522,0.0303,120.03200000000001,4,0
1562,Beautiful Mistakes (feat. Megan Thee Stallion),JORDI (Deluxe),Maroon 5,2021-06-11,3.7899166666666666,83,0.713,0.0377,0.6759999999999999,0.0,0.154,-5.483,0.027000000000000003,99.04799999999999,4,0
1567,9 to 5,9 To 5 And Odd Jobs,Dolly Parton,1980,2.7077666666666667,77,0.5539999999999999,0.41600000000000004,0.7829999999999999,1.54e-06,0.631,-5.852,0.0457,105.39,4,0
1572,Sugar,V,Maroon 5,2014-09-02,3.924883333333333,82,0.748,0.0591,0.7879999999999999,0.0,0.0863,-7.055,0.0334,120.07600000000001,4,0
1576,She Looks So Perfect,5 Seconds Of Summer,5 Seconds of Summer,2014-06-27,3.3749333333333333,73,0.494,0.0005690000000000001,0.951,0.0,0.327,-4.237,0.132,160.025,4,0
1587,Animals,V,Maroon 5,2014-09-02,3.850216666666667,81,0.27899999999999997,0.000185,0.742,0.0,0.593,-6.46,0.0898,189.868,4,0
1590,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",Hands All Over,Maroon 5,2010,3.3526666666666665,72,0.722,0.0111,0.758,0.0,0.308,-4.477,0.0471,128.047,4,0
1615,Summer Of '69,Reckless (30th Anniversary / Deluxe Edition),Bryan Adams,1984-11-05,3.600883333333333,83,0.508,0.0183,0.8340000000000001,0.0,0.0732,-6.205,0.0386,139.131,4,0
1639,"Sunflower, Vol. 6",Fine Line,Harry Styles,2019-12-13,3.6971,75,0.5660000000000001,0.0005639999999999999,0.846,0.000795,0.121,-6.904,0.035,160.02,4,0
1642,make up sex (feat. blackbear),mainstream sellout,Machine Gun Kelly,2022-03-25,2.0428333333333333,74,0.665,0.00156,0.6779999999999999,0.0,0.474,-4.122,0.0315,131.986,4,0
1645,PRBLMS,FREE 6LACK,6LACK,2016-11-18,4.112883333333333,73,0.41700000000000004,0.0307,0.58,1.45e-06,0.179,-4.574,0.207,68.58,5,0
1647,Sex With Me,ANTI (Deluxe),Rihanna,2016-01-28,3.44,74,0.58,0.294,0.532,0.0,0.0948,-5.667999999999999,0.0424,112.04899999999999,4,0
1650,7 Summers,Dangerous: The Double Album,Morgan Wallen,2021-01-08,3.508433333333333,76,0.466,0.41700000000000004,0.7859999999999999,6.1e-05,0.125,-5.13,0.0328,203.903,4,0
1651,Seven Nation Army,Elephant,The White Stripes,2003-04-01,3.868433333333333,85,0.743,0.0039,0.446,0.11800000000000001,0.337,-7.807,0.0683,123.596,4,0
1654,7 Weeks & 3 Days,Over You,yungatita,2020-01-03,3.2333333333333334,72,0.613,0.237,0.7340000000000001,0.136,0.22699999999999998,-8.833,0.0278,129.97,4,0
1656,772 Love,772 Love,YNW Melly,2017-10-16,3.4914666666666667,73,0.6759999999999999,0.226,0.623,1.66e-05,0.159,-7.297000000000001,0.0352,111.46600000000001,4,0
1657,7AM,Luv Is Rage,Lil Uzi Vert,2015-12-18,3.6618666666666666,72,0.638,0.275,0.526,0.0,0.462,-8.401,0.131,139.054,4,0
1665,7 Years (Remix),7 Years (Remix),Sik World,2016-06-04,2.2366166666666665,71,0.8109999999999999,0.22699999999999998,0.609,0.0,0.102,-8.376,0.0996,120.071,4,0
1679,Broadway Girls (feat. Morgan Wallen),7220 (Reloaded),Lil Durk,2022-03-10,3.0933333333333333,72,0.659,0.0417,0.745,0.0,0.29600000000000004,-3.5989999999999998,0.0347,74.967,4,0
1687,7 Days,Born to Do It,Craig David,2000-08-14,3.9188833333333335,72,0.659,0.23,0.812,0.0,0.0951,-7.499,0.0487,83.014,4,0
1694,Hail to the King,Hail to the King,Avenged Sevenfold,2013-08-23,5.098433333333333,77,0.58,0.000297,0.9159999999999999,0.0259,0.126,-4.3580000000000005,0.0387,118.00399999999999,4,0
1696,Psycho Killer - 2005 Remaster,Talking Heads '77 (Deluxe Version),Talking Heads,1977-09-16,4.356883333333333,79,0.721,0.0708,0.521,0.00545,0.127,-8.123,0.0613,123.118,4,0
1703,8TEEN,American Teen,Khalid,2017-04-27,3.81,78,0.83,0.225,0.585,0.00209,0.0576,-5.8020000000000005,0.0366,105.03,4,0
1715,Take on Me,Hunting High and Low,a-ha,1985-06-01,3.7546666666666666,86,0.573,0.018000000000000002,0.902,0.00125,0.0928,-7.638,0.054000000000000006,84.412,4,0
1716,Sk8er Boi,Let Go,Avril Lavigne,2002-06-04,3.4,78,0.48700000000000004,6.790000000000001e-05,0.9,0.0,0.358,-4.417,0.0482,149.937,4,0
1719,Midnight City,"Hurry Up, We're Dreaming",M83,2011,4.024,73,0.526,0.0161,0.7120000000000001,0.0,0.179,-6.525,0.0356,105.009,4,0
1720,Livin' On A Prayer,Slippery When Wet,Bon Jovi,1986-08-16,4.154883333333333,86,0.532,0.0778,0.887,0.00021400000000000002,0.294,-3.7569999999999997,0.0335,122.51100000000001,4,0
1727,25/8,YHLQMDLG,Bad Bunny,2020-02-29,4.054583333333333,73,0.7609999999999999,0.092,0.732,0.0,0.0716,-5.468999999999999,0.0549,151.982,4,0
1728,Sweet Dreams (Are Made of This) - Remastered,Sweet Dreams (Are Made Of This),Eurythmics,1983-01-04,3.61555,83,0.6920000000000001,0.225,0.711,0.0,0.12,-7.497999999999999,0.0317,125.135,4,0
1732,I Wanna Dance with Somebody (Who Loves Me),Whitney,Whitney Houston,1987-06-02,4.854883333333333,82,0.7090000000000001,0.207,0.8240000000000001,0.000307,0.0888,-8.824,0.0453,118.818,4,0
1741,U Got It Bad,8701,Usher,2001-08-07,4.1306666666666665,71,0.816,0.0227,0.5,1.53e-06,0.0733,-4.551,0.03,124.037,4,0
1742,Girls Just Want to Have Fun,She's So Unusual,Cyndi Lauper,1983-10-14,3.9711,80,0.71,0.22,0.799,0.000602,0.349,-4.897,0.0328,120.37200000000001,4,0
1746,A Little Bit Off,F8,Five Finger Death Punch,2020-02-28,3.1786333333333334,73,0.664,0.00839,0.828,0.0,0.294,-6.053,0.0404,103.985,4,0
1747,Don't Stop Believin',Escape (Bonus Track Version),Journey,1981,4.1831,84,0.5,0.127,0.748,0.0,0.447,-9.072000000000001,0.0363,118.852,4,0
1752,90 Proof (with J. Cole),90 Proof (with J. Cole),Smino,2022-09-30,3.47115,75,0.773,0.24,0.623,3.5600000000000005e-05,0.14800000000000002,-6.53,0.0983,147.826,4,0
1760,99 Luftballons,Nena,Nena,1983-09-23,3.874433333333333,74,0.575,0.10300000000000001,0.555,1.3e-06,0.111,-7.495,0.0453,95.361,4,0
1762,Cloud 9,Honeymoon,Beach Bunny,2020-02-14,2.455833333333333,80,0.637,0.0016699999999999998,0.929,2.62e-05,0.344,-3.593,0.0491,80.97399999999999,4,0
1777,911 - Remix,911 (Remix),Sech,2021-07-09,3.477183333333333,75,0.816,0.165,0.71,0.0,0.292,-3.728,0.0398,93.02,4,0
1781,Wonderwall,(What's The Story) Morning Glory?,Oasis,1995-10-02,4.3151,73,0.41,0.00236,0.8540000000000001,0.0,0.133,-5.609,0.0366,174.584,4,0
1783,Semi-Charmed Life,Third Eye Blind,Third Eye Blind,1997-04-08,4.472666666666667,75,0.64,0.008320000000000001,0.8640000000000001,0.0,0.12300000000000001,-6.5760000000000005,0.0314,102.02600000000001,4,0
1785,AM Remix,AM Remix,Nio Garcia,2021-06-24,4.355566666666666,80,0.743,0.114,0.655,0.0,0.0764,-5.015,0.159,172.03099999999998,4,0
1795,Dilemma,Nellyville,Nelly,2002-06-25,4.819333333333334,79,0.727,0.22699999999999998,0.552,0.000164,0.198,-8.074,0.14,168.18900000000002,4,0
